time,tier,map,ban,matchid
1/19/2020 7:46:20 PM,24,Ranked Stone Keep,Raum,927825070
1/19/2020 7:46:20 PM,24,Ranked Stone Keep,Strix,927825070
1/19/2020 7:46:20 PM,24,Ranked Stone Keep,Torvald,927825070
1/9/2020 5:36:55 PM,24,Ranked Ice Mines,Evie,923164398
1/9/2020 5:36:55 PM,24,Ranked Ice Mines,Makoa,923164398
1/9/2020 5:36:55 PM,24,Ranked Ice Mines,Moji,923164398
1/9/2020 5:36:55 PM,24,Ranked Ice Mines,Strix,923164398
1/14/2020 9:15:00 PM,24,Ranked Stone Keep,Makoa,925641925
1/14/2020 9:15:00 PM,24,Ranked Stone Keep,Zhin,925641925
1/14/2020 9:15:00 PM,24,Ranked Stone Keep,Strix,925641925
1/14/2020 9:15:00 PM,24,Ranked Stone Keep,Atlas,925641925
2/10/2020 7:43:14 PM,24,Ranked Ascension Peak,Androxus,936678422
2/10/2020 7:43:14 PM,24,Ranked Ascension Peak,Zhin,936678422
2/10/2020 7:43:14 PM,24,Ranked Ascension Peak,Torvald,936678422
2/10/2020 7:43:14 PM,24,Ranked Ascension Peak,Bomb King,936678422
1/8/2020 8:45:26 PM,24,Ranked Frog Isle,Strix,922798108
1/8/2020 8:45:26 PM,24,Ranked Frog Isle,Makoa,922798108
1/8/2020 8:45:26 PM,24,Ranked Frog Isle,Barik,922798108
1/8/2020 8:45:26 PM,24,Ranked Frog Isle,Drogoz,922798108
1/9/2020 6:10:48 PM,24,Ranked Stone Keep,Bomb King,923179380
1/9/2020 6:10:48 PM,24,Ranked Stone Keep,Makoa,923179380
1/9/2020 6:10:48 PM,24,Ranked Stone Keep,Strix,923179380
1/9/2020 6:10:48 PM,24,Ranked Stone Keep,Willo,923179380
1/8/2020 2:25:01 PM,24,Ranked Ascension Peak,Khan,922648164
1/8/2020 2:25:01 PM,24,Ranked Ascension Peak,Makoa,922648164
1/8/2020 2:25:01 PM,24,Ranked Ascension Peak,Strix,922648164
1/8/2020 2:25:01 PM,24,Ranked Ascension Peak,Willo,922648164
1/10/2020 11:16:03 PM,24,Ranked Brightmarsh,Willo,923757676
1/10/2020 11:16:03 PM,24,Ranked Brightmarsh,Zhin,923757676
1/10/2020 11:16:03 PM,24,Ranked Brightmarsh,Bomb King,923757676
1/10/2020 11:16:03 PM,24,Ranked Brightmarsh,Makoa,923757676
1/26/2020 5:39:50 PM,24,Ranked Timber Mill,Raum,930737972
1/26/2020 5:39:50 PM,24,Ranked Timber Mill,Strix,930737972
1/26/2020 5:39:50 PM,24,Ranked Timber Mill,Ying,930737972
